Id,Expected,Weight,Usage
347448,unrelated,0.0625,Public
347449,unrelated,0.0625,Private
359100,unrelated,0.0625,Public
359101,unrelated,0.0625,Private
359102,unrelated,0.0625,Private
359103,unrelated,0.0625,Public
359104,unrelated,0.0625,Private
359105,unrelated,0.0625,Private
359106,agreed,0.06666666666666667,Private
359107,unrelated,0.0625,Private
359108,agreed,0.06666666666666667,Public
359109,unrelated,0.0625,Private
353889,agreed,0.06666666666666667,Public
353888,agreed,0.06666666666666667,Private
353883,agreed,0.06666666666666667,Public
353882,unrelated,0.0625,Private
353881,unrelated,0.0625,Public
353880,unrelated,0.0625,Public
353887,agreed,0.06666666666666667,Public
353886,agreed,0.06666666666666667,Public
353885,agreed,0.06666666666666667,Private
353884,unrelated,0.0625,Private
322906,unrelated,0.0625,Private
322907,unrelated,0.0625,Public
322904,unrelated,0.0625,Public
322905,unrelated,0.0625,Private
322902,unrelated,0.0625,Private
322903,unrelated,0.0625,Public
322900,unrelated,0.0625,Private
322901,unrelated,0.0625,Public
347205,unrelated,0.0625,Private
322908,unrelated,0.0625,Private
322909,unrelated,0.0625,Private
323053,unrelated,0.0625,Public
323052,unrelated,0.0625,Public
323051,unrelated,0.0625,Public
323050,unrelated,0.0625,Public
323057,unrelated,0.0625,Private
323056,agreed,0.06666666666666667,Private
323055,unrelated,0.0625,Public
323054,unrelated,0.0625,Public
323059,unrelated,0.0625,Private
323058,agreed,0.06666666666666667,Public
345083,unrelated,0.0625,Private
360724,unrelated,0.0625,Public
353269,unrelated,0.0625,Public
353268,unrelated,0.0625,Public
353267,unrelated,0.0625,Public
353266,unrelated,0.0625,Public
353265,unrelated,0.0625,Private
353264,unrelated,0.0625,Public
353263,agreed,0.06666666666666667,Public
353262,unrelated,0.0625,Public
353261,agreed,0.06666666666666667,Public
353260,unrelated,0.0625,Public
349358,agreed,0.06666666666666667,Public
349359,agreed,0.06666666666666667,Public
349354,unrelated,0.0625,Private
349355,unrelated,0.0625,Public
349356,unrelated,0.0625,Public
349357,unrelated,0.0625,Private
349350,unrelated,0.0625,Private
349351,unrelated,0.0625,Public
349352,unrelated,0.0625,Private
349353,unrelated,0.0625,Public
349926,agreed,0.06666666666666667,Private
346788,unrelated,0.0625,Public
346789,unrelated,0.0625,Public
324430,unrelated,0.0625,Private
324431,unrelated,0.0625,Public
324432,unrelated,0.0625,Public
324433,unrelated,0.0625,Public
324434,unrelated,0.0625,Private
324435,unrelated,0.0625,Private
324436,unrelated,0.0625,Private
324437,unrelated,0.0625,Private
324438,unrelated,0.0625,Public
324439,unrelated,0.0625,Private
349920,agreed,0.06666666666666667,Private
353400,agreed,0.06666666666666667,Private
345084,unrelated,0.0625,Private
346784,unrelated,0.0625,Private
346785,unrelated,0.0625,Public
352785,unrelated,0.0625,Public
347357,unrelated,0.0625,Public
323898,unrelated,0.0625,Private
352520,unrelated,0.0625,Public
355458,unrelated,0.0625,Private
355459,unrelated,0.0625,Public
323895,unrelated,0.0625,Private
323894,unrelated,0.0625,Public
340292,unrelated,0.0625,Public
340293,unrelated,0.0625,Public
340290,unrelated,0.0625,Private
340291,unrelated,0.0625,Public
340296,unrelated,0.0625,Public
340297,unrelated,0.0625,Public
340294,agreed,0.06666666666666667,Private
340295,unrelated,0.0625,Public
340298,agreed,0.06666666666666667,Private
340299,unrelated,0.0625,Public
345785,unrelated,0.0625,Public
345784,unrelated,0.0625,Public
351139,unrelated,0.0625,Private
351138,unrelated,0.0625,Private
351135,unrelated,0.0625,Private
351134,unrelated,0.0625,Private
351137,unrelated,0.0625,Public
351136,unrelated,0.0625,Private
351131,unrelated,0.0625,Public
351130,unrelated,0.0625,Public
351133,unrelated,0.0625,Private
351132,unrelated,0.0625,Private
347195,unrelated,0.0625,Public
347209,unrelated,0.0625,Private
357999,unrelated,0.0625,Public
357998,unrelated,0.0625,Public
357995,unrelated,0.0625,Private
357994,unrelated,0.0625,Private
357997,unrelated,0.0625,Public
357996,unrelated,0.0625,Private
357991,unrelated,0.0625,Public
357990,unrelated,0.0625,Private
357993,unrelated,0.0625,Public
357992,unrelated,0.0625,Private
356648,unrelated,0.0625,Private
356649,unrelated,0.0625,Public
356642,unrelated,0.0625,Private
356643,unrelated,0.0625,Public
356640,unrelated,0.0625,Public
356641,unrelated,0.0625,Private
356646,unrelated,0.0625,Public
356647,unrelated,0.0625,Public
356644,unrelated,0.0625,Public
356645,unrelated,0.0625,Private
355597,unrelated,0.0625,Public
355596,unrelated,0.0625,Public
355595,unrelated,0.0625,Public
355594,unrelated,0.0625,Public
355593,unrelated,0.0625,Private
345789,unrelated,0.0625,Private
355591,unrelated,0.0625,Private
355590,unrelated,0.0625,Public
345788,unrelated,0.0625,Public
355599,unrelated,0.0625,Public
355598,unrelated,0.0625,Private
340559,agreed,0.06666666666666667,Public
351871,agreed,0.06666666666666667,Public
324529,agreed,0.06666666666666667,Public
341523,unrelated,0.0625,Public
341522,agreed,0.06666666666666667,Public
341521,agreed,0.06666666666666667,Private
341520,agreed,0.06666666666666667,Public
341527,agreed,0.06666666666666667,Public
341526,unrelated,0.0625,Public
341525,unrelated,0.0625,Private
341524,agreed,0.06666666666666667,Private
341529,unrelated,0.0625,Public
341528,agreed,0.06666666666666667,Public
345086,unrelated,0.0625,Private
343634,agreed,0.06666666666666667,Private
348298,disagreed,0.2,Public
348299,unrelated,0.0625,Private
348292,unrelated,0.0625,Public
348293,agreed,0.06666666666666667,Private
348290,unrelated,0.0625,Private
348291,unrelated,0.0625,Public
348296,agreed,0.06666666666666667,Private
348297,unrelated,0.0625,Private
348294,unrelated,0.0625,Private
348295,unrelated,0.0625,Private
350774,unrelated,0.0625,Private
350775,unrelated,0.0625,Private
350776,unrelated,0.0625,Public
350777,unrelated,0.0625,Private
350770,unrelated,0.0625,Private
350771,unrelated,0.0625,Private
350772,unrelated,0.0625,Public
350773,agreed,0.06666666666666667,Private
350778,unrelated,0.0625,Public
350779,unrelated,0.0625,Private
354644,agreed,0.06666666666666667,Private
354645,unrelated,0.0625,Private
354646,agreed,0.06666666666666667,Private
354647,agreed,0.06666666666666667,Public
354640,agreed,0.06666666666666667,Private
354641,agreed,0.06666666666666667,Public
354642,agreed,0.06666666666666667,Private
354643,agreed,0.06666666666666667,Public
354648,agreed,0.06666666666666667,Public
354649,unrelated,0.0625,Private
353955,unrelated,0.0625,Public
353954,unrelated,0.0625,Private
353957,unrelated,0.0625,Public
353956,agreed,0.06666666666666667,Private
334280,agreed,0.06666666666666667,Private
357205,unrelated,0.0625,Private
357204,unrelated,0.0625,Private
357207,unrelated,0.0625,Private
357206,unrelated,0.0625,Public
357201,unrelated,0.0625,Private
330908,unrelated,0.0625,Public
357203,unrelated,0.0625,Public
357202,unrelated,0.0625,Public
330905,unrelated,0.0625,Public
330904,unrelated,0.0625,Public
330907,unrelated,0.0625,Private
330906,unrelated,0.0625,Public
330901,unrelated,0.0625,Private
357208,unrelated,0.0625,Public
330903,unrelated,0.0625,Private
330902,unrelated,0.0625,Public
348124,agreed,0.06666666666666667,Public
348125,agreed,0.06666666666666667,Private
348126,agreed,0.06666666666666667,Private
348127,unrelated,0.0625,Public
348120,unrelated,0.0625,Private
348121,unrelated,0.0625,Public
348122,agreed,0.06666666666666667,Private
348123,agreed,0.06666666666666667,Private
340731,unrelated,0.0625,Private
340730,agreed,0.06666666666666667,Private
340733,agreed,0.06666666666666667,Private
340732,unrelated,0.0625,Private
348128,unrelated,0.0625,Public
348129,unrelated,0.0625,Public
340737,agreed,0.06666666666666667,Public
340736,agreed,0.06666666666666667,Private
343271,unrelated,0.0625,Private
343270,unrelated,0.0625,Public
343273,agreed,0.06666666666666667,Public
343272,agreed,0.06666666666666667,Public
343275,agreed,0.06666666666666667,Private
343274,agreed,0.06666666666666667,Public
